,gene,product
56,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1
57,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
58,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
59,ATP2B1,ATPase plasma membrane Ca2+ transporting 1
60,ATP2B2,ATPase plasma membrane Ca2+ transporting 2
61,ATP2B3,ATPase plasma membrane Ca2+ transporting 3
62,ATP2B4,ATPase plasma membrane Ca2+ transporting 4
63,ATP2C1,ATPase secretory pathway Ca2+ transporting 1
64,ATP2C2,ATPase secretory pathway Ca2+ transporting 2
65,ATP4A,ATPase H+/K+ transporting subunit alpha
66,ATP4B,ATPase H+/K+ transporting subunit beta
67,ATP6V1B2,ATPase H+ transporting V1 subunit B2
68,ATP6V1C1,ATPase H+ transporting V1 subunit C1
69,AVPR1A,Arginine vasopressin receptor 1A
70,AVPR1B,Arginine vasopressin receptor 1B
71,AVPR2,Arginine vasopressin receptor 2
72,AXL,AXL receptor tyrosine kinase
73,BCHE,Butyrylcholinesterase
74,BCL2,BCL2 apoptosis regulator
75,BCR,BCR activator of RhoGEF and GTPase
76,BDKRB2,Bradykinin receptor B2
77,BGLAP,Bone gamma-carboxyglutamate protein
78,BHMT,Betaine--homocysteine S-methyltransferase
79,BLVRB,Biliverdin reductase B
80,BMPR1A,Bone morphogenetic protein receptor type 1A
81,BMPR2,Bone morphogenetic protein receptor type 2
82,BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
83,BST1,Bone marrow stromal cell antigen 1
84,BTK,Bruton tyrosine kinase
85,C1S,Complement C1s
86,C3,Complement C3
87,C4A,Complement C4A (Rodgers blood group)
88,C4B,Complement C4B (Chido blood group)
89,C5,Complement C5
90,C5AR1,Complement C5a receptor 1
91,CA1,Carbonic anhydrase 1
92,CA12,Carbonic anhydrase 12
93,CA13,Carbonic anhydrase 13
94,CA14,Carbonic anhydrase 14
95,CA2,Carbonic anhydrase 2
96,CA3,Carbonic anhydrase 3
97,CA4,Carbonic anhydrase 4
98,CA5A,Carbonic anhydrase 5A
99,CA5B,Carbonic anhydrase 5B
100,CA6,Carbonic anhydrase 6
101,CA7,Carbonic anhydrase 7
102,CA9,Carbonic anhydrase 9
103,CACNA1A,Calcium voltage-gated channel subunit alpha1 A
104,CACNA1B,Calcium voltage-gated channel subunit alpha1 B
105,CACNA1C,Calcium voltage-gated channel subunit alpha1 C
106,CACNA1D,Calcium voltage-gated channel subunit alpha1 D
107,CACNA1E,Calcium voltage-gated channel subunit alpha1 E
108,CACNA1F,Calcium voltage-gated channel subunit alpha1 F
109,CACNA1G,Calcium voltage-gated channel subunit alpha1 G
110,CACNA1H,Calcium voltage-gated channel subunit alpha1 H
111,CACNA1I,Calcium voltage-gated channel subunit alpha1 I
112,CACNA1S,Calcium voltage-gated channel subunit alpha1 S
113,CACNA2D1,Calcium voltage-gated channel auxiliary subunit alpha2delta 1
114,CACNA2D2,Calcium voltage-gated channel auxiliary subunit alpha2delta 2
115,CACNA2D3,Calcium voltage-gated channel auxiliary subunit alpha2delta 3
116,CACNA2D4,Calcium voltage-gated channel auxiliary subunit alpha2delta 4
117,CACNB1,Calcium voltage-gated channel auxiliary subunit beta 1
118,CACNB2,Calcium voltage-gated channel auxiliary subunit beta 2
119,CACNB3,Calcium voltage-gated channel auxiliary subunit beta 3
120,CACNB4,Calcium voltage-gated channel auxiliary subunit beta 4
121,CACNG1,Calcium voltage-gated channel auxiliary subunit gamma 1
122,CACNG2,Calcium voltage-gated channel auxiliary subunit gamma 2
123,CACNG3,Calcium voltage-gated channel auxiliary subunit gamma 3
124,CACNG4,Calcium voltage-gated channel auxiliary subunit gamma 4
125,CACNG5,Calcium voltage-gated channel auxiliary subunit gamma 5
126,CACNG6,Calcium voltage-gated channel auxiliary subunit gamma 6
127,CACNG7,Calcium voltage-gated channel auxiliary subunit gamma 7
128,CACNG8,Calcium voltage-gated channel auxiliary subunit gamma 8
129,CALCA,Calcitonin related polypeptide alpha
130,CALCB,Calcitonin related polypeptide beta
131,CALCRL,Calcitonin receptor like receptor
132,CALM1,Calmodulin 1
133,CALY,Calcyon neuron specific vesicular protein
134,CAMLG,Calcium modulating ligand
135,CARTPT,CART prepropeptide
136,CASP3,Caspase 3
137,CASR,Calcium sensing receptor
138,CAT,Catalase
139,CCDC51,Coiled-coil domain containing 51
140,CCKAR,Cholecystokinin A receptor
141,CCKBR,Cholecystokinin B receptor
142,CCND1,Cyclin D1
143,CCR4,C-C motif chemokine receptor 4
144,CCR5,C-C motif chemokine receptor 5
145,CD19,CD19 molecule
146,CD2,CD2 molecule
147,CD22,CD22 molecule
148,CD247,CD247 molecule
149,CD274,CD274 molecule
150,CD33,CD33 molecule
151,CD3D,CD3 delta subunit of T-cell receptor complex
152,CD3E,CD3 epsilon subunit of T-cell receptor complex
153,CD3G,CD3 gamma subunit of T-cell receptor complex
154,CD4,CD4 molecule
155,CD44,CD44 molecule (Indian blood group)
156,CD52,CD52 molecule
157,CD79B,CD79b molecule
158,CD80,CD80 molecule
159,CD86,CD86 molecule
160,CDA,Cytidine deaminase
161,CDK4,Cyclin dependent kinase 4
162,CDK6,Cyclin dependent kinase 6
163,CFTR,CF transmembrane conductance regulator
164,CHRM1,Cholinergic receptor muscarinic 1
165,CHRM2,Cholinergic receptor muscarinic 2
166,CHRM3,Cholinergic receptor muscarinic 3
167,CHRM4,Cholinergic receptor muscarinic 4
168,CHRM5,Cholinergic receptor muscarinic 5
169,CHRNA10,Cholinergic receptor nicotinic alpha 10 subunit
170,CHRNA2,Cholinergic receptor nicotinic alpha 2 subunit
171,CHRNA3,Cholinergic receptor nicotinic alpha 3 subunit
172,CHRNA4,Cholinergic receptor nicotinic alpha 4 subunit
173,CHRNA5,Cholinergic receptor nicotinic alpha 5 subunit
174,CHRNA6,Cholinergic receptor nicotinic alpha 6 subunit
175,CHRNA7,Cholinergic receptor nicotinic alpha 7 subunit
176,CHRNA9,Cholinergic receptor nicotinic alpha 9 subunit
177,CHRNB2,Cholinergic receptor nicotinic beta 2 subunit
178,CHRNB3,Cholinergic receptor nicotinic beta 3 subunit
179,CHRNB4,Cholinergic receptor nicotinic beta 4 subunit
180,CKB,Creatine kinase B
181,CKM,"Creatine kinase, M-type"
182,CKMT1A,"Creatine kinase, mitochondrial 1A"
183,CKMT1B,"Creatine kinase, mitochondrial 1B"
184,CKMT2,"Creatine kinase, mitochondrial 2"
185,CLCN2,Chloride voltage-gated channel 2
186,CNR1,Cannabinoid receptor 1
187,CNR2,Cannabinoid receptor 2
188,COL1A1,Collagen type I alpha 1 chain
189,COL2A1,Collagen type II alpha 1 chain
190,COL3A1,Collagen type III alpha 1 chain
191,COMT,Catechol-O-methyltransferase
192,CPB2,Carboxypeptidase B2
193,CPS1,Carbamoyl-phosphate synthase 1
194,CPT1A,Carnitine palmitoyltransferase 1A
195,CPT2,Carnitine palmitoyltransferase 2
196,CRBN,Cereblon
197,CRHR1,Corticotropin releasing hormone receptor 1
198,CSF1R,Colony stimulating factor 1 receptor
199,CSF2RA,Colony stimulating factor 2 receptor subunit alpha
200,CSF2RB,Colony stimulating factor 2 receptor subunit beta
201,CSF3R,Colony stimulating factor 3 receptor
202,CSNK1E,Casein kinase 1 epsilon
203,CTLA4,Cytotoxic T-lymphocyte associated protein 4
204,CXCR4,C-X-C motif chemokine receptor 4
205,CYP11A1,Cytochrome P450 family 11 subfamily A member 1
206,CYP11B1,Cytochrome P450 family 11 subfamily B member 1
207,CYP11B2,Cytochrome P450 family 11 subfamily B member 2
208,CYP17A1,Cytochrome P450 family 17 subfamily A member 1
209,CYP19A1,Cytochrome P450 family 19 subfamily A member 1
210,CYP3A4,Cytochrome P450 family 3 subfamily A member 4
211,CYP51A1,Cytochrome P450 family 51 subfamily A member 1
212,CYSLTR1,Cysteinyl leukotriene receptor 1
213,CYSLTR2,Cysteinyl leukotriene receptor 2
214,DBH,Dopamine beta-hydroxylase
215,DCK,Deoxycytidine kinase
216,DDC,Dopa decarboxylase
217,DDR2,Discoidin domain receptor tyrosine kinase 2
218,DGAT2,Diacylglycerol O-acyltransferase 2
219,DHFR,Dihydrofolate reductase
220,DHODH,Dihydroorotate dehydrogenase (quinone)
221,DIO3,Iodothyronine deiodinase 3
222,DMD,Dystrophin
223,DNMT1,DNA methyltransferase 1
224,DPEP1,Dipeptidase 1
225,DPP4,Dipeptidyl peptidase 4
226,DPYD,Dihydropyrimidine dehydrogenase
227,DRD1,Dopamine receptor D1
228,DRD2,Dopamine receptor D2
229,DRD3,Dopamine receptor D3
230,DRD4,Dopamine receptor D4
231,DRD5,Dopamine receptor D5
232,ECHS1,"Enoyl-CoA hydratase, short chain 1"
233,EDNRA,Endothelin receptor type A
234,EDNRB,Endothelin receptor type B
235,EEF2,Eukaryotic translation elongation factor 2
236,EGF,Epidermal growth factor
237,EGFR,Epidermal growth factor receptor
238,EGLN1,Egl-9 family hypoxia inducible factor 1
239,EGLN2,Egl-9 family hypoxia inducible factor 2
240,EGLN3,Egl-9 family hypoxia inducible factor 3
241,ELANE,"Elastase, neutrophil expressed"
242,ELOVL4,ELOVL fatty acid elongase 4
243,EPAS1,Endothelial PAS domain protein 1
244,EPCAM,Epithelial cell adhesion molecule
245,EPHA2,EPH receptor A2
246,EPOR,Erythropoietin receptor
247,ERBB2,Erb-b2 receptor tyrosine kinase 2
248,ERBB4,Erb-b2 receptor tyrosine kinase 4
249,ESR1,Estrogen receptor 1
250,ESR2,Estrogen receptor 2
251,ESRRG,Estrogen related receptor gamma
252,ETFDH,Electron transfer flavoprotein dehydrogenase
253,EZH2,Enhancer of zeste 2 polycomb repressive complex 2 subunit
254,F10,Coagulation factor X
255,F11,Coagulation factor XI
256,F12,Coagulation factor XII
257,F13A1,Coagulation factor XIII A chain
258,F13B,Coagulation factor XIII B chain
259,F2,"Coagulation factor II, thrombin"
260,F2R,Coagulation factor II thrombin receptor
261,F3,"Coagulation factor III, tissue factor"
262,F5,Coagulation factor V
263,F7,Coagulation factor VII
264,F8,Coagulation factor VIII
265,F9,Coagulation factor IX
266,FABP7,Fatty acid binding protein 7
267,FADS1,Fatty acid desaturase 1
268,FADS2,Fatty acid desaturase 2
269,FCER1A,Fc epsilon receptor Ia
270,FCER1G,Fc epsilon receptor Ig
271,FCGR1A,Fc gamma receptor Ia
272,FCGR2A,Fc gamma receptor IIa
273,FCGR2B,Fc gamma receptor IIb
274,FCGR3A,Fc gamma receptor IIIa
275,FCGR3B,Fc gamma receptor IIIb
276,FCGRT,Fc gamma receptor and transporter
277,FDPS,Farnesyl diphosphate synthase
278,FFAR1,Free fatty acid receptor 1
279,FFAR4,Free fatty acid receptor 4
280,FGA,Fibrinogen alpha chain
281,FGB,Fibrinogen beta chain
282,FGF1,Fibroblast growth factor 1
283,FGF2,Fibroblast growth factor 2
284,FGFR1,Fibroblast growth factor receptor 1
285,FGFR2,Fibroblast growth factor receptor 2
286,FGFR3,Fibroblast growth factor receptor 3
287,FGFR4,Fibroblast growth factor receptor 4
288,FGG,Fibrinogen gamma chain
289,FKBP1A,FKBP prolyl isomerase 1A
290,FLT1,Fms related receptor tyrosine kinase 1
291,FLT3,Fms related receptor tyrosine kinase 3
292,FLT4,Fms related receptor tyrosine kinase 4
293,FN1,Fibronectin 1
294,FNTA,"Farnesyltransferase, CAAX box, alpha"
295,FNTB,"Farnesyltransferase, CAAX box, beta"
296,FOLH1,Folate hydrolase 1
297,FOLR1,Folate receptor alpha
298,FPGS,Folylpolyglutamate synthase
299,FRK,Fyn related Src family tyrosine kinase
300,FSHR,Follicle stimulating hormone receptor
301,FTH1,Ferritin heavy chain 1
302,FTL,Ferritin light chain
303,FXYD2,FXYD domain containing ion transport regulator 2
304,GAA,Alpha glucosidase
305,GABBR1,Gamma-aminobutyric acid type B receptor subunit 1
306,GABBR2,Gamma-aminobutyric acid type B receptor subunit 2
307,GABRA1,Gamma-aminobutyric acid type A receptor subunit alpha1
308,GABRA2,Gamma-aminobutyric acid type A receptor subunit alpha2
309,GABRA3,Gamma-aminobutyric acid type A receptor subunit alpha3
310,GABRA4,Gamma-aminobutyric acid type A receptor subunit alpha4
311,GABRA5,Gamma-aminobutyric acid type A receptor subunit alpha5
312,GABRA6,Gamma-aminobutyric acid type A receptor subunit alpha6
313,GABRB1,Gamma-aminobutyric acid type A receptor subunit beta1
314,GABRB2,Gamma-aminobutyric acid type A receptor subunit beta2
315,GABRB3,Gamma-aminobutyric acid type A receptor subunit beta3
316,GABRD,Gamma-aminobutyric acid type A receptor subunit delta
317,GABRE,Gamma-aminobutyric acid type A receptor subunit epsilon
318,GABRG1,Gamma-aminobutyric acid type A receptor subunit gamma1
319,GABRG2,Gamma-aminobutyric acid type A receptor subunit gamma2
320,GABRG3,Gamma-aminobutyric acid type A receptor subunit gamma3
321,GABRP,Gamma-aminobutyric acid type A receptor subunit pi
322,GABRQ,Gamma-aminobutyric acid type A receptor subunit theta
323,GAMT,Guanidinoacetate N-methyltransferase
324,GANAB,Glucosidase II alpha subunit
325,GANC,"Glucosidase alpha, neutral C"
326,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase
327,GART,"Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
328,GAST,Gastrin
329,GCGR,Glucagon receptor
330,GGCX,Gamma-glutamyl carboxylase
331,GGPS1,Geranylgeranyl diphosphate synthase 1
332,GHR,Growth hormone receptor
333,GHRHR,Growth hormone releasing hormone receptor
334,GIP,Gastric inhibitory polypeptide
335,GLP1R,Glucagon like peptide 1 receptor
336,GLP2R,Glucagon like peptide 2 receptor
337,GLRA1,Glycine receptor alpha 1
338,GLRA2,Glycine receptor alpha 2
339,GLRA3,Glycine receptor alpha 3
340,GNRHR,Gonadotropin releasing hormone receptor
341,GRIA1,Glutamate ionotropic receptor AMPA type subunit 1
342,GRIK1,Glutamate ionotropic receptor kainate type subunit 1
343,GRIK2,Glutamate ionotropic receptor kainate type subunit 2
344,GRIK3,Glutamate ionotropic receptor kainate type subunit 3
345,GRIK4,Glutamate ionotropic receptor kainate type subunit 4
346,GRIK5,Glutamate ionotropic receptor kainate type subunit 5
347,GRIN1,Glutamate ionotropic receptor NMDA type subunit 1
348,GRIN2A,Glutamate ionotropic receptor NMDA type subunit 2A
349,GRIN2B,Glutamate ionotropic receptor NMDA type subunit 2B
350,GRIN2C,Glutamate ionotropic receptor NMDA type subunit 2C
351,GRIN2D,Glutamate ionotropic receptor NMDA type subunit 2D
352,GRIN3A,Glutamate ionotropic receptor NMDA type subunit 3A
353,GRIN3B,Glutamate ionotropic receptor NMDA type subunit 3B
354,GRM5,Glutamate metabotropic receptor 5
355,GSR,Glutathione-disulfide reductase
356,GSS,Glutathione synthetase
357,GUCY1A1,Guanylate cyclase 1 soluble subunit alpha 1
358,GUCY1A2,Guanylate cyclase 1 soluble subunit alpha 2
359,GUCY1B1,Guanylate cyclase 1 soluble subunit beta 1
360,GUCY2C,Guanylate cyclase 2C
361,HADH,Hydroxyacyl-CoA dehydrogenase
362,HAO1,Hydroxyacid oxidase 1
363,HBA1,Hemoglobin subunit alpha 1
364,HBA2,Hemoglobin subunit alpha 2
365,HBB,Hemoglobin subunit beta
366,HCAR2,Hydroxycarboxylic acid receptor 2
367,HCAR3,Hydroxycarboxylic acid receptor 3
368,HCRTR1,Hypocretin receptor 1
369,HCRTR2,Hypocretin receptor 2
370,HDAC1,Histone deacetylase 1
371,HDAC10,Histone deacetylase 10
372,HDAC11,Histone deacetylase 11
373,HDAC2,Histone deacetylase 2
374,HDAC3,Histone deacetylase 3
375,HDAC4,Histone deacetylase 4
376,HDAC5,Histone deacetylase 5
377,HDAC6,Histone deacetylase 6
378,HDAC7,Histone deacetylase 7
379,HDAC8,Histone deacetylase 8
380,HDAC9,Histone deacetylase 9
381,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase
382,HMMR,Hyaluronan mediated motility receptor
383,HPD,4-hydroxyphenylpyruvate dioxygenase
384,HPRT1,Hypoxanthine phosphoribosyltransferase 1
385,HRH1,Histamine receptor H1
386,HRH2,Histamine receptor H2
387,HRH3,Histamine receptor H3
388,HRH4,Histamine receptor H4
389,HSD11B1,Hydroxysteroid 11-beta dehydrogenase 1
390,HSD17B10,Hydroxysteroid 17-beta dehydrogenase 10
391,HSD3B1,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"
392,HSD3B2,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"
393,HTR1A,5-hydroxytryptamine receptor 1A
394,HTR1B,5-hydroxytryptamine receptor 1B
395,HTR1D,5-hydroxytryptamine receptor 1D
396,HTR1E,5-hydroxytryptamine receptor 1E
397,HTR1F,5-hydroxytryptamine receptor 1F
398,HTR2A,5-hydroxytryptamine receptor 2A
399,HTR2B,5-hydroxytryptamine receptor 2B
400,HTR2C,5-hydroxytryptamine receptor 2C
401,HTR3A,5-hydroxytryptamine receptor 3A
402,HTR3B,5-hydroxytryptamine receptor 3B
403,HTR3C,5-hydroxytryptamine receptor 3C
404,HTR3D,5-hydroxytryptamine receptor 3D
405,HTR3E,5-hydroxytryptamine receptor 3E
406,HTR4,5-hydroxytryptamine receptor 4
407,HTR6,5-hydroxytryptamine receptor 6
408,HTR7,5-hydroxytryptamine receptor 7
409,ICAM1,Intercellular adhesion molecule 1
410,IDE,Insulin degrading enzyme
411,IDH1,Isocitrate dehydrogenase (NADP(+)) 1
412,IDH2,Isocitrate dehydrogenase (NADP(+)) 2
413,IDH3A,Isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha
414,IFNAR1,Interferon alpha and beta receptor subunit 1
415,IFNAR2,Interferon alpha and beta receptor subunit 2
416,IFNG,Interferon gamma
417,IFNGR1,Interferon gamma receptor 1
418,IFNGR2,Interferon gamma receptor 2
419,IGF1R,Insulin like growth factor 1 receptor
420,IGHG1,Immunoglobulin heavy constant gamma 1 (G1m marker)
421,IGHG2,Immunoglobulin heavy constant gamma 2 (G2m marker)
422,IGHG4,Immunoglobulin heavy constant gamma 4 (G4m marker)
423,IKBKB,Inhibitor of nuclear factor kappa B kinase subunit beta
424,IL11RA,Interleukin 11 receptor subunit alpha
425,IL12B,Interleukin 12B
426,IL13,Interleukin 13
427,IL17A,Interleukin 17A
428,IL17F,Interleukin 17F
429,IL1B,Interleukin 1 beta
430,IL1R1,Interleukin 1 receptor type 1
431,IL1RL2,Interleukin 1 receptor like 2
432,IL23A,Interleukin 23 subunit alpha
433,IL2RA,Interleukin 2 receptor subunit alpha
434,IL2RB,Interleukin 2 receptor subunit beta
435,IL2RG,Interleukin 2 receptor subunit gamma
436,IL3RA,Interleukin 3 receptor subunit alpha
437,IL4,Interleukin 4
438,IL4R,Interleukin 4 receptor
439,IL5,Interleukin 5
440,IL5RA,Interleukin 5 receptor subunit alpha
441,IL6,Interleukin 6
442,IL6R,Interleukin 6 receptor
443,IMPDH1,Inosine monophosphate dehydrogenase 1
444,IMPDH2,Inosine monophosphate dehydrogenase 2
445,INSR,Insulin receptor
446,ITGA2B,Integrin subunit alpha 2b
447,ITGA4,Integrin subunit alpha 4
448,ITGAL,Integrin subunit alpha L
449,ITGAV,Integrin subunit alpha V
450,ITGAX,Integrin subunit alpha X
451,ITGB1,Integrin subunit beta 1
452,ITGB3,Integrin subunit beta 3
453,ITGB7,Integrin subunit beta 7
454,JAK1,Janus kinase 1
455,JAK2,Janus kinase 2
456,JAK3,Janus kinase 3
457,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
458,KCNA1,Potassium voltage-gated channel subfamily A member 1
459,KCNA10,Potassium voltage-gated channel subfamily A member 10
460,KCNA2,Potassium voltage-gated channel subfamily A member 2
461,KCNA3,Potassium voltage-gated channel subfamily A member 3
462,KCNA4,Potassium voltage-gated channel subfamily A member 4
463,KCNA5,Potassium voltage-gated channel subfamily A member 5
464,KCNA6,Potassium voltage-gated channel subfamily A member 6
465,KCNA7,Potassium voltage-gated channel subfamily A member 7
466,KCNB1,Potassium voltage-gated channel subfamily B member 1
467,KCNB2,Potassium voltage-gated channel subfamily B member 2
468,KCNC1,Potassium voltage-gated channel subfamily C member 1
469,KCNC2,Potassium voltage-gated channel subfamily C member 2
470,KCNC3,Potassium voltage-gated channel subfamily C member 3
471,KCND1,Potassium voltage-gated channel subfamily D member 1
472,KCND2,Potassium voltage-gated channel subfamily D member 2
473,KCND3,Potassium voltage-gated channel subfamily D member 3
474,KCNH2,Potassium voltage-gated channel subfamily H member 2
475,KCNH6,Potassium voltage-gated channel subfamily H member 6
476,KCNH7,Potassium voltage-gated channel subfamily H member 7
477,KCNJ1,Potassium inwardly rectifying channel subfamily J member 1
478,KCNJ10,Potassium inwardly rectifying channel subfamily J member 10
479,KCNJ11,Potassium inwardly rectifying channel subfamily J member 11
480,KCNJ12,Potassium inwardly rectifying channel subfamily J member 12
481,KCNJ14,Potassium inwardly rectifying channel subfamily J member 14
482,KCNJ15,Potassium inwardly rectifying channel subfamily J member 15
483,KCNJ2,Potassium inwardly rectifying channel subfamily J member 2
484,KCNJ3,Potassium inwardly rectifying channel subfamily J member 3
485,KCNJ4,Potassium inwardly rectifying channel subfamily J member 4
486,KCNJ8,Potassium inwardly rectifying channel subfamily J member 8
487,KCNK2,Potassium two pore domain channel subfamily K member 2
488,KCNK3,Potassium two pore domain channel subfamily K member 3
489,KCNK9,Potassium two pore domain channel subfamily K member 9
490,KCNMA1,Potassium calcium-activated channel subfamily M alpha 1
491,KCNMB1,Potassium calcium-activated channel subfamily M regulatory beta subunit 1
492,KCNMB2,Potassium calcium-activated channel subfamily M regulatory beta subunit 2
493,KCNMB3,Potassium calcium-activated channel subfamily M regulatory beta subunit 3
494,KCNMB4,Potassium calcium-activated channel subfamily M regulatory beta subunit 4
495,KCNN1,Potassium calcium-activated channel subfamily N member 1
496,KCNN2,Potassium calcium-activated channel subfamily N member 2
497,KCNN3,Potassium calcium-activated channel subfamily N member 3
498,KCNN4,Potassium calcium-activated channel subfamily N member 4
499,KCNQ1,Potassium voltage-gated channel subfamily Q member 1
500,KDR,Kinase insert domain receptor
501,KEAP1,Kelch like ECH associated protein 1
502,KIT,"KIT proto-oncogene, receptor tyrosine kinase"
503,KLK3,Kallikrein related peptidase 3
504,KLKB1,Kallikrein B1
505,KRAS,"KRAS proto-oncogene, GTPase"
506,KRT12,Keratin 12
507,KRT2,Keratin 2
508,LAG3,Lymphocyte activating 3
509,LCK,"LCK proto-oncogene, Src family tyrosine kinase"
510,LDHA,Lactate dehydrogenase A
511,LDHB,Lactate dehydrogenase B
512,LEPR,Leptin receptor
513,LHCGR,Luteinizing hormone/choriogonadotropin receptor
514,LIPF,"Lipase F, gastric type"
515,LPL,Lipoprotein lipase
516,LTA,Lymphotoxin alpha
517,M6PR,"Mannose-6-phosphate receptor, cation dependent"
518,MAOA,Monoamine oxidase A
519,MAOB,Monoamine oxidase B
520,MAP1A,Microtubule associated protein 1A
521,MAP2,Microtubule associated protein 2
522,MAP2K1,Mitogen-activated protein kinase kinase 1
523,MAP2K2,Mitogen-activated protein kinase kinase 2
524,MAP3K1,Mitogen-activated protein kinase kinase kinase 1
525,MAP4,Microtubule associated protein 4
526,MAPK1,Mitogen-activated protein kinase 1
527,MAPK11,Mitogen-activated protein kinase 11
528,MAPK3,Mitogen-activated protein kinase 3
529,MAPT,Microtubule associated protein tau
530,MB,Myoglobin
531,MC1R,Melanocortin 1 receptor
532,MC2R,Melanocortin 2 receptor
533,MC4R,Melanocortin 4 receptor
534,MDH2,Malate dehydrogenase 2
535,MET,"MET proto-oncogene, receptor tyrosine kinase"
536,MGAM,Maltase-glucoamylase
537,MME,Membrane metalloendopeptidase
538,MMUT,Methylmalonyl-CoA mutase
539,MOCS2A,Molybdenum cofactor synthesis 2
540,MOCS2B,Molybdenum cofactor synthesis 2
541,MPL,"MPL proto-oncogene, thrombopoietin receptor"
542,MR1,"Major histocompatibility complex, class I-related"
543,MRC1,Mannose receptor C-type 1
544,MS4A1,Membrane spanning 4-domains A1
545,MS4A2,Membrane spanning 4-domains A2
546,MST1R,Macrophage stimulating 1 receptor
547,MT-ND1,Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
548,MTNR1A,Melatonin receptor 1A
549,MTNR1B,Melatonin receptor 1B
550,MTOR,Mechanistic target of rapamycin kinase
551,MTR,5-methyltetrahydrofolate-homocysteine methyltransferase
552,MTTP,Microsomal triglyceride transfer protein
553,MYH7,Myosin heavy chain 7
554,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3
555,NEU1,Neuraminidase 1
556,NFKB1,Nuclear factor kappa B subunit 1
557,NFKB2,Nuclear factor kappa B subunit 2
558,NISCH,Nischarin
559,NNMT,Nicotinamide N-methyltransferase
560,NNT,Nicotinamide nucleotide transhydrogenase
561,NOD2,Nucleotide binding oligomerization domain containing 2
562,NOS1,Nitric oxide synthase 1
563,NOS2,Nitric oxide synthase 2
564,NOS3,Nitric oxide synthase 3
565,NPC1L1,NPC1 like intracellular cholesterol transporter 1
566,NPR1,Natriuretic peptide receptor 1
